State,2007,2008,2009,2010,2011,2012,2013
Alabama,0,5,1,0,0,0,1
Alaska,2,0,3,1,3,3,2
Arizona,12,7,3,3,5,8,5
Arkansas,0,0,0,2,0,0,0
California,71,65,94,96,97,85,87
Colorado,8,14,5,11,13,7,7
Connecticut,5,7,5,9,13,7,3
Delaware,0,1,1,0,0,0,0
"Washington, DC",3,7,5,6,2,1,3
Florida,8,9,5,10,4,4,9
Georgia,1,7,4,3,7,2,0
Hawaii,5,1,3,1,2,2,3
Idaho,1,2,2,3,3,2,4
Illinois,12,5,5,12,4,3,11
Indiana,1,2,2,3,2,1,0
Iowa,1,1,2,2,1,2,2
Kansas,0,0,1,1,1,0,0
Kentucky,0,0,1,0,0,1,0
Louisiana,0,4,1,2,0,2,3
Maine,2,1,2,3,4,2,2
Maryland,5,3,7,7,2,5,5
Massachusetts,15,20,23,18,19,15,17
Michigan,3,2,4,2,3,3,2
Minnesota,9,11,9,6,6,2,7
Mississippi,0,0,0,0,0,1,0
Missouri,5,2,7,4,3,5,0
Montana,2,1,1,2,1,1,1
Nebraska,1,1,0,1,1,0,0
Nevada,3,0,2,0,2,3,1
New Hampshire,4,1,5,3,2,6,8
New Jersey,13,8,7,8,3,9,7
New Mexico,2,4,2,6,5,6,7
New York,26,27,25,23,27,21,24
North Carolina,3,4,3,3,3,1,2
North Dakota,0,0,0,0,0,0,0
Ohio,7,3,1,2,3,1,2
Oklahoma,1,0,1,1,0,1,5
Oregon,20,28,30,24,26,28,28
Pennsylvania,8,5,4,6,4,6,8
Rhode Island,4,2,3,1,2,0,1
South Carolina,3,0,0,1,1,0,1
South Dakota,0,0,0,1,1,0,0
Tennessee,2,2,2,1,3,1,4
Texas,16,14,16,19,12,14,14
Utah,1,1,0,2,1,4,4
Vermont,1,2,5,1,3,1,5
Virginia,2,1,5,4,12,1,5
Washington,28,22,32,30,32,19,8
West Virginia,0,0,0,1,1,1,0
Wisconsin,2,4,0,2,2,5,5
Wyoming,0,1,1,1,0,0,0
