  Phys     Stat
 45.83286 49.73412
 66.24545 64.87357
 54.84116 50.45485
 52.73309 52.98077
 55.22804 57.51052
 36.71771 38.12940
 70.60068 71.31107
 46.58481 43.07550
 37.61019 37.06575
 54.44590 52.86622
 42.65069 48.93422
 54.37827 56.17238
 55.48877 54.14389
 54.75712 54.90254
 58.49035 54.28524
 36.50214 37.76160
 57.46308 56.18982
 50.88379 50.22294
 66.00721 63.74446
 40.21083 40.01258
 62.80092 65.38431
 52.67780 53.11069
 46.37766 44.08331
 62.18870 59.14436
 67.25034 68.91049
 46.94243 46.75340
 40.73630 44.26910
 44.16992 40.07929
 63.06225 61.06836
 21.46127 27.51049
 53.06325 56.62534
 46.75746 44.27409
 42.62306 40.81727
 37.17180 38.58767
 35.69836 30.63126
 45.89923 43.99144
 58.04152 59.51573
 54.64092 53.74517
 41.41039 36.76394
 63.12466 62.46416
 41.00973 40.00774
 44.99261 46.69961
 44.93524 46.71632
 37.29267 37.14477
 58.34537 55.47421
 53.43469 55.79567
 45.36934 47.71729
 52.06818 46.96069
 49.16137 50.08758
 51.86147 56.27546
 56.58516 55.46879
 41.69534 41.89212
 62.34281 62.01932
 39.80478 38.39744
 56.03820 57.49428
 44.01542 44.95353
 45.22847 45.33766
 61.32475 61.32643
 45.68322 47.66341
 48.14822 47.13410
 57.17597 57.60514
 46.44202 41.33925
 35.24607 35.90807
 55.56036 49.76122
 41.04521 45.28572
 51.67046 50.16363
 52.93516 49.51824
 35.84404 33.17955
 47.15922 44.82814
 60.08049 61.18417
 55.10556 54.57818
 50.66494 46.00166
 63.17677 60.00211
 49.47325 51.27673
 44.17665 51.33226
 35.61826 37.75184
 47.60780 49.91266
 62.02337 64.34087
 47.17575 49.49582
 59.63255 54.04946
 46.66867 47.50897
 41.92247 43.92537
 58.06207 59.25163
 63.70322 63.36367
 53.54859 54.65436
 54.28997 52.04134
 61.45739 62.29298
 48.42434 49.98111
 47.02817 48.76383
 56.68283 54.01947
 47.39154 49.38044
 53.48607 51.11642
 57.12145 52.61662
 62.14516 59.79395
 52.54617 47.44484
 56.72894 56.57045
 45.37159 43.39910
 29.57351 35.60014
 46.26462 41.10685
 53.31890 48.86226

